issues foot,'issu' <-> 'foot'
foot is trauma,'foot' <2> 'trauma'
foot is in trauma,'foot' <3> 'trauma'
foot is a little trauma,'foot' <3> 'littl' <-> 'trauma'
inflammation foot,'inflamm' <-> 'foot'
inflammation in my foot,'inflamm' <3> 'foot'
inflammation in foot,'inflamm' <2> 'foot'
foot inflammation,'foot' <-> 'inflamm'
foot is inflammation,'foot' <2> 'inflamm'
foot is in inflammation,'foot' <3> 'inflamm'
foot is a little inflammation,'foot' <3> 'littl' <-> 'inflamm'
avulsion foot,'avuls' <-> 'foot'
avulsion in my foot,'avuls' <3> 'foot'
avulsion in foot,'avuls' <2> 'foot'
foot avulsion,'foot' <-> 'avuls'
foot is avulsion,'foot' <2> 'avuls'
foot is in avulsion,'foot' <3> 'avuls'
foot is a little avulsion,'foot' <3> 'littl' <-> 'avuls'
plaque foot,'plaqu' <-> 'foot'
plaque in my foot,'plaqu' <3> 'foot'
plaque in foot,'plaqu' <2> 'foot'
foot plaque,'foot' <-> 'plaqu'
foot is plaque,'foot' <2> 'plaqu'
foot is in plaque,'foot' <3> 'plaqu'
foot is a little plaque,'foot' <3> 'littl' <-> 'plaqu'
tingling foot,'tingl' <-> 'foot'
tingling in my foot,'tingl' <3> 'foot'
tingling in foot,'tingl' <2> 'foot'
foot tingling,'foot' <-> 'tingl'
foot is tingling,'foot' <2> 'tingl'
foot is in tingling,'foot' <3> 'tingl'
foot is a little tingling,'foot' <3> 'littl' <-> 'tingl'
discomfort foot,'discomfort' <-> 'foot'
discomfort in my foot,'discomfort' <3> 'foot'
discomfort in foot,'discomfort' <2> 'foot'
foot discomfort,'foot' <-> 'discomfort'
foot is discomfort,'foot' <2> 'discomfort'
foot is in discomfort,'foot' <3> 'discomfort'
foot is a little discomfort,'foot' <3> 'littl' <-> 'discomfort'
oedema foot,'oedema' <-> 'foot'
oedema in my foot,'oedema' <3> 'foot'
oedema in foot,'oedema' <2> 'foot'
foot oedema,'foot' <-> 'oedema'
foot is oedema,'foot' <2> 'oedema'
foot is in oedema,'foot' <3> 'oedema'
foot is a little oedema,'foot' <3> 'littl' <-> 'oedema'
burning foot,'burn' <-> 'foot'
burning in my foot,'burn' <3> 'foot'
burning in foot,'burn' <2> 'foot'
foot burning,'foot' <-> 'burn'
foot is burning,'foot' <2> 'burn'
foot is in burning,'foot' <3> 'burn'
foot is a little burning,'foot' <3> 'littl' <-> 'burn'
macule foot,'macul' <-> 'foot'
macule in my foot,'macul' <3> 'foot'
macule in foot,'macul' <2> 'foot'
foot macule,'foot' <-> 'macul'
foot is macule,'foot' <2> 'macul'
foot is in macule,'foot' <3> 'macul'
foot is a little macule,'foot' <3> 'littl' <-> 'macul'
tight foot,'tight' <-> 'foot'
tight in my foot,'tight' <3> 'foot'
tight in foot,'tight' <2> 'foot'
foot tight,'foot' <-> 'tight'
foot is tight,'foot' <2> 'tight'
foot is in tight,'foot' <3> 'tight'
foot is a little tight,'foot' <3> 'littl' <-> 'tight'
pains foot,'pain' <-> 'foot'
pains in my foot,'pain' <3> 'foot'
pains in foot,'pain' <2> 'foot'
foot pains,'foot' <-> 'pain'
foot is pains,'foot' <2> 'pain'
foot is in pains,'foot' <3> 'pain'
foot is a little pains,'foot' <3> 'littl' <-> 'pain'
injury foot,'injuri' <-> 'foot'
injury in my foot,'injuri' <3> 'foot'
injury in foot,'injuri' <2> 'foot'
foot injury,'foot' <-> 'injuri'
foot is injury,'foot' <2> 'injuri'
foot is in injury,'foot' <3> 'injuri'
foot is a little injury,'foot' <3> 'littl' <-> 'injuri'
numbness foot,'numb' <-> 'foot'
numbness in my foot,'numb' <3> 'foot'
numbness in foot,'numb' <2> 'foot'
foot numbness,'foot' <-> 'numb'
foot is numbness,'foot' <2> 'numb'
foot is in numbness,'foot' <3> 'numb'
foot is a little numbness,'foot' <3> 'littl' <-> 'numb'
pounding foot,'pound' <-> 'foot'
pounding in my foot,'pound' <3> 'foot'
pounding in foot,'pound' <2> 'foot'
foot pounding,'foot' <-> 'pound'
foot is pounding,'foot' <2> 'pound'
foot is in pounding,'foot' <3> 'pound'
foot is a little pounding,'foot' <3> 'littl' <-> 'pound'
laceration foot,'lacer' <-> 'foot'
laceration in my foot,'lacer' <3> 'foot'
laceration in foot,'lacer' <2> 'foot'
foot laceration,'foot' <-> 'lacer'
foot is laceration,'foot' <2> 'lacer'
foot is in laceration,'foot' <3> 'lacer'
foot is a little laceration,'foot' <3> 'littl' <-> 'lacer'
obstruction foot,'obstruct' <-> 'foot'
obstruction in my foot,'obstruct' <3> 'foot'
obstruction in foot,'obstruct' <2> 'foot'
foot obstruction,'foot' <-> 'obstruct'
foot is obstruction,'foot' <2> 'obstruct'
foot is in obstruction,'foot' <3> 'obstruct'
foot is a little obstruction,'foot' <3> 'littl' <-> 'obstruct'
swollen foot,'swollen' <-> 'foot'
swollen in my foot,'swollen' <3> 'foot'
swollen in foot,'swollen' <2> 'foot'
foot swollen,'foot' <-> 'swollen'
foot is swollen,'foot' <2> 'swollen'
foot is in swollen,'foot' <3> 'swollen'
foot is a little swollen,'foot' <3> 'littl' <-> 'swollen'
swelling foot,'swell' <-> 'foot'
swelling in my foot,'swell' <3> 'foot'
swelling in foot,'swell' <2> 'foot'
foot swelling,'foot' <-> 'swell'
foot is swelling,'foot' <2> 'swell'
foot is in swelling,'foot' <3> 'swell'
foot is a little swelling,'foot' <3> 'littl' <-> 'swell'
scratchy foot,'scratchi' <-> 'foot'
scratchy in my foot,'scratchi' <3> 'foot'
scratchy in foot,'scratchi' <2> 'foot'
foot scratchy,'foot' <-> 'scratchi'
foot is scratchy,'foot' <2> 'scratchi'
foot is in scratchy,'foot' <3> 'scratchi'
foot is a little scratchy,'foot' <3> 'littl' <-> 'scratchi'
erythema foot,'erythema' <-> 'foot'
erythema in my foot,'erythema' <3> 'foot'
erythema in foot,'erythema' <2> 'foot'
foot erythema,'foot' <-> 'erythema'
foot is erythema,'foot' <2> 'erythema'
foot is in erythema,'foot' <3> 'erythema'
foot is a little erythema,'foot' <3> 'littl' <-> 'erythema'
spasm foot,'spasm' <-> 'foot'
spasm in my foot,'spasm' <3> 'foot'
spasm in foot,'spasm' <2> 'foot'
foot spasm,'foot' <-> 'spasm'
foot is spasm,'foot' <2> 'spasm'
foot is in spasm,'foot' <3> 'spasm'
foot is a little spasm,'foot' <3> 'littl' <-> 'spasm'
prickling foot,'prickl' <-> 'foot'
prickling in my foot,'prickl' <3> 'foot'
prickling in foot,'prickl' <2> 'foot'
foot prickling,'foot' <-> 'prickl'
foot is prickling,'foot' <2> 'prickl'
foot is in prickling,'foot' <3> 'prickl'
foot is a little prickling,'foot' <3> 'littl' <-> 'prickl'
luxation foot,'luxat' <-> 'foot'
luxation in my foot,'luxat' <3> 'foot'
luxation in foot,'luxat' <2> 'foot'
foot luxation,'foot' <-> 'luxat'
foot is luxation,'foot' <2> 'luxat'
foot is in luxation,'foot' <3> 'luxat'
foot is a little luxation,'foot' <3> 'littl' <-> 'luxat'
soreness foot,'sore' <-> 'foot'
soreness in my foot,'sore' <3> 'foot'
soreness in foot,'sore' <2> 'foot'
foot soreness,'foot' <-> 'sore'
foot is soreness,'foot' <2> 'sore'
foot is in soreness,'foot' <3> 'sore'
foot is a little soreness,'foot' <3> 'littl' <-> 'sore'
nodule foot,'nodul' <-> 'foot'
nodule in my foot,'nodul' <3> 'foot'
nodule in foot,'nodul' <2> 'foot'
foot nodule,'foot' <-> 'nodul'
foot is nodule,'foot' <2> 'nodul'
foot is in nodule,'foot' <3> 'nodul'
foot is a little nodule,'foot' <3> 'littl' <-> 'nodul'
throbbing foot,'throb' <-> 'foot'
throbbing in my foot,'throb' <3> 'foot'
throbbing in foot,'throb' <2> 'foot'
foot throbbing,'foot' <-> 'throb'
foot is throbbing,'foot' <2> 'throb'
foot is in throbbing,'foot' <3> 'throb'
foot is a little throbbing,'foot' <3> 'littl' <-> 'throb'
contusion foot,'contus' <-> 'foot'
contusion in my foot,'contus' <3> 'foot'
contusion in foot,'contus' <2> 'foot'
foot contusion,'foot' <-> 'contus'
foot is contusion,'foot' <2> 'contus'
foot is in contusion,'foot' <3> 'contus'
foot is a little contusion,'foot' <3> 'littl' <-> 'contus'
pallor foot,'pallor' <-> 'foot'
pallor in my foot,'pallor' <3> 'foot'
pallor in foot,'pallor' <2> 'foot'
foot pallor,'foot' <-> 'pallor'
foot is pallor,'foot' <2> 'pallor'
foot is in pallor,'foot' <3> 'pallor'
foot is a little pallor,'foot' <3> 'littl' <-> 'pallor'
itchy foot,'itchi' <-> 'foot'
itchy in my foot,'itchi' <3> 'foot'
itchy in foot,'itchi' <2> 'foot'
foot itchy,'foot' <-> 'itchi'
foot is itchy,'foot' <2> 'itchi'
foot is in itchy,'foot' <3> 'itchi'
foot is a little itchy,'foot' <3> 'littl' <-> 'itchi'
leak foot,'leak' <-> 'foot'
leak in my foot,'leak' <3> 'foot'
leak in foot,'leak' <2> 'foot'
foot leak,'foot' <-> 'leak'
foot is leak,'foot' <2> 'leak'
foot is in leak,'foot' <3> 'leak'
foot is a little leak,'foot' <3> 'littl' <-> 'leak'
abrasion foot,'abras' <-> 'foot'
abrasion in my foot,'abras' <3> 'foot'
abrasion in foot,'abras' <2> 'foot'
foot abrasion,'foot' <-> 'abras'
foot is abrasion,'foot' <2> 'abras'
foot is in abrasion,'foot' <3> 'abras'
foot is a little abrasion,'foot' <3> 'littl' <-> 'abras'
tremor foot,'tremor' <-> 'foot'
tremor in my foot,'tremor' <3> 'foot'
tremor in foot,'tremor' <2> 'foot'
foot tremor,'foot' <-> 'tremor'
foot is tremor,'foot' <2> 'tremor'
foot is in tremor,'foot' <3> 'tremor'
foot is a little tremor,'foot' <3> 'littl' <-> 'tremor'
complication foot,'complic' <-> 'foot'
complication in my foot,'complic' <3> 'foot'
complication in foot,'complic' <2> 'foot'
foot complication,'foot' <-> 'complic'
foot is complication,'foot' <2> 'complic'
foot is in complication,'foot' <3> 'complic'
foot is a little complication,'foot' <3> 'littl' <-> 'complic'
irritation foot,'irrit' <-> 'foot'
irritation in my foot,'irrit' <3> 'foot'
irritation in foot,'irrit' <2> 'foot'
foot irritation,'foot' <-> 'irrit'
foot is irritation,'foot' <2> 'irrit'
foot is in irritation,'foot' <3> 'irrit'
foot is a little irritation,'foot' <3> 'littl' <-> 'irrit'
tender foot,'tender' <-> 'foot'
tender in my foot,'tender' <3> 'foot'
tender in foot,'tender' <2> 'foot'
foot tender,'foot' <-> 'tender'
foot is tender,'foot' <2> 'tender'
foot is in tender,'foot' <3> 'tender'
foot is a little tender,'foot' <3> 'littl' <-> 'tender'
papule foot,'papul' <-> 'foot'
papule in my foot,'papul' <3> 'foot'
papule in foot,'papul' <2> 'foot'
foot papule,'foot' <-> 'papul'
foot is papule,'foot' <2> 'papul'
foot is in papule,'foot' <3> 'papul'
foot is a little papule,'foot' <3> 'littl' <-> 'papul'
rupture foot,'ruptur' <-> 'foot'
rupture in my foot,'ruptur' <3> 'foot'
rupture in foot,'ruptur' <2> 'foot'
foot rupture,'foot' <-> 'ruptur'
foot is rupture,'foot' <2> 'ruptur'
foot is in rupture,'foot' <3> 'ruptur'
foot is a little rupture,'foot' <3> 'littl' <-> 'ruptur'
puffy foot,'puffi' <-> 'foot'
puffy in my foot,'puffi' <3> 'foot'
puffy in foot,'puffi' <2> 'foot'
foot puffy,'foot' <-> 'puffi'
foot is puffy,'foot' <2> 'puffi'
foot is in puffy,'foot' <3> 'puffi'
foot is a little puffy,'foot' <3> 'littl' <-> 'puffi'
issues vitreous,'issu' <-> 'vitreous'
issues in my vitreous,'issu' <3> 'vitreous'
issues in vitreous,'issu' <2> 'vitreous'
vitreous issues,'vitreous' <-> 'issu'
vitreous is issues,'vitreous' <2> 'issu'
vitreous is in issues,'vitreous' <3> 'issu'
vitreous is a little issues,'vitreous' <3> 'littl' <-> 'issu'
puffing vitreous,'puf' <-> 'vitreous'
puffing in my vitreous,'puf' <3> 'vitreous'
puffing in vitreous,'puf' <2> 'vitreous'
vitreous puffing,'vitreous' <-> 'puf'
vitreous is puffing,'vitreous' <2> 'puf'
vitreous is in puffing,'vitreous' <3> 'puf'
vitreous is a little puffing,'vitreous' <3> 'littl' <-> 'puf'
inflamed vitreous,'inflam' <-> 'vitreous'
inflamed in my vitreous,'inflam' <3> 'vitreous'
inflamed in vitreous,'inflam' <2> 'vitreous'
vitreous inflamed,'vitreous' <-> 'inflam'
vitreous is inflamed,'vitreous' <2> 'inflam'
vitreous is in inflamed,'vitreous' <3> 'inflam'
vitreous is a little inflamed,'vitreous' <3> 'littl' <-> 'inflam'
hurts vitreous,'hurt' <-> 'vitreous'
hurts in my vitreous,'hurt' <3> 'vitreous'
hurts in vitreous,'hurt' <2> 'vitreous'
vitreous hurts,'vitreous' <-> 'hurt'
vitreous is hurts,'vitreous' <2> 'hurt'
vitreous is in hurts,'vitreous' <3> 'hurt'
vitreous is a little hurts,'vitreous' <3> 'littl' <-> 'hurt'
cramps vitreous,'cramp' <-> 'vitreous'
cramps in my vitreous,'cramp' <3> 'vitreous'
cramps in vitreous,'cramp' <2> 'vitreous'
vitreous cramps,'vitreous' <-> 'cramp'
vitreous is cramps,'vitreous' <2> 'cramp'
vitreous is in cramps,'vitreous' <3> 'cramp'
vitreous is a little cramps,'vitreous' <3> 'littl' <-> 'cramp'
shaking vitreous,'shake' <-> 'vitreous'
shaking in my vitreous,'shake' <3> 'vitreous'
shaking in vitreous,'shake' <2> 'vitreous'
vitreous shaking,'vitreous' <-> 'shake'
vitreous is shaking,'vitreous' <2> 'shake'
vitreous is in shaking,'vitreous' <3> 'shake'
vitreous is a little shaking,'vitreous' <3> 'littl' <-> 'shake'
hypersensitivity vitreous,'hypersensit' <-> 'vitreous'
hypersensitivity in my vitreous,'hypersensit' <3> 'vitreous'
hypersensitivity in vitreous,'hypersensit' <2> 'vitreous'
vitreous hypersensitivity,'vitreous' <-> 'hypersensit'
vitreous is hypersensitivity,'vitreous' <2> 'hypersensit'
vitreous is in hypersensitivity,'vitreous' <3> 'hypersensit'
vitreous is a little hypersensitivity,'vitreous' <3> 'littl' <-> 'hypersensit'
trauma vitreous,'trauma' <-> 'vitreous'
trauma in my vitreous,'trauma' <3> 'vitreous'
trauma in vitreous,'trauma' <2> 'vitreous'
vitreous trauma,'vitreous' <-> 'trauma'
vitreous is trauma,'vitreous' <2> 'trauma'
vitreous is in trauma,'vitreous' <3> 'trauma'
vitreous is a little trauma,'vitreous' <3> 'littl' <-> 'trauma'
inflammation vitreous,'inflamm' <-> 'vitreous'
inflammation in my vitreous,'inflamm' <3> 'vitreous'
inflammation in vitreous,'inflamm' <2> 'vitreous'
vitreous inflammation,'vitreous' <-> 'inflamm'
vitreous is inflammation,'vitreous' <2> 'inflamm'
vitreous is in inflammation,'vitreous' <3> 'inflamm'
vitreous is a little inflammation,'vitreous' <3> 'littl' <-> 'inflamm'
avulsion vitreous,'avuls' <-> 'vitreous'
avulsion in my vitreous,'avuls' <3> 'vitreous'
avulsion in vitreous,'avuls' <2> 'vitreous'
vitreous avulsion,'vitreous' <-> 'avuls'
vitreous is avulsion,'vitreous' <2> 'avuls'
vitreous is in avulsion,'vitreous' <3> 'avuls'
vitreous is a little avulsion,'vitreous' <3> 'littl' <-> 'avuls'
plaque vitreous,'plaqu' <-> 'vitreous'
plaque in my vitreous,'plaqu' <3> 'vitreous'
plaque in vitreous,'plaqu' <2> 'vitreous'
vitreous plaque,'vitreous' <-> 'plaqu'
vitreous is plaque,'vitreous' <2> 'plaqu'
vitreous is in plaque,'vitreous' <3> 'plaqu'
vitreous is a little plaque,'vitreous' <3> 'littl' <-> 'plaqu'
tingling vitreous,'tingl' <-> 'vitreous'
tingling in my vitreous,'tingl' <3> 'vitreous'
tingling in vitreous,'tingl' <2> 'vitreous'
vitreous tingling,'vitreous' <-> 'tingl'
vitreous is tingling,'vitreous' <2> 'tingl'
vitreous is in tingling,'vitreous' <3> 'tingl'
vitreous is a little tingling,'vitreous' <3> 'littl' <-> 'tingl'
discomfort vitreous,'discomfort' <-> 'vitreous'
discomfort in my vitreous,'discomfort' <3> 'vitreous'
discomfort in vitreous,'discomfort' <2> 'vitreous'
vitreous discomfort,'vitreous' <-> 'discomfort'
vitreous is discomfort,'vitreous' <2> 'discomfort'
vitreous is in discomfort,'vitreous' <3> 'discomfort'
vitreous is a little discomfort,'vitreous' <3> 'littl' <-> 'discomfort'
oedema vitreous,'oedema' <-> 'vitreous'
oedema in my vitreous,'oedema' <3> 'vitreous'
oedema in vitreous,'oedema' <2> 'vitreous'
vitreous oedema,'vitreous' <-> 'oedema'
vitreous is oedema,'vitreous' <2> 'oedema'
vitreous is in oedema,'vitreous' <3> 'oedema'
vitreous is a little oedema,'vitreous' <3> 'littl' <-> 'oedema'
burning vitreous,'burn' <-> 'vitreous'
burning in my vitreous,'burn' <3> 'vitreous'
burning in vitreous,'burn' <2> 'vitreous'
vitreous burning,'vitreous' <-> 'burn'
vitreous is burning,'vitreous' <2> 'burn'
vitreous is in burning,'vitreous' <3> 'burn'
vitreous is a little burning,'vitreous' <3> 'littl' <-> 'burn'
macule vitreous,'macul' <-> 'vitreous'
macule in my vitreous,'macul' <3> 'vitreous'
macule in vitreous,'macul' <2> 'vitreous'
vitreous macule,'vitreous' <-> 'macul'
vitreous is macule,'vitreous' <2> 'macul'
vitreous is in macule,'vitreous' <3> 'macul'
vitreous is a little macule,'vitreous' <3> 'littl' <-> 'macul'
tight vitreous,'tight' <-> 'vitreous'
tight in my vitreous,'tight' <3> 'vitreous'
tight in vitreous,'tight' <2> 'vitreous'
vitreous tight,'vitreous' <-> 'tight'
vitreous is tight,'vitreous' <2> 'tight'
vitreous is in tight,'vitreous' <3> 'tight'
vitreous is a little tight,'vitreous' <3> 'littl' <-> 'tight'
pains vitreous,'pain' <-> 'vitreous'
pains in my vitreous,'pain' <3> 'vitreous'
pains in vitreous,'pain' <2> 'vitreous'
vitreous pains,'vitreous' <-> 'pain'
vitreous is pains,'vitreous' <2> 'pain'
vitreous is in pains,'vitreous' <3> 'pain'
vitreous is a little pains,'vitreous' <3> 'littl' <-> 'pain'
injury vitreous,'injuri' <-> 'vitreous'
injury in my vitreous,'injuri' <3> 'vitreous'
injury in vitreous,'injuri' <2> 'vitreous'
vitreous injury,'vitreous' <-> 'injuri'
vitreous is injury,'vitreous' <2> 'injuri'
vitreous is in injury,'vitreous' <3> 'injuri'
vitreous is a little injury,'vitreous' <3> 'littl' <-> 'injuri'
numbness vitreous,'numb' <-> 'vitreous'
numbness in my vitreous,'numb' <3> 'vitreous'
numbness in vitreous,'numb' <2> 'vitreous'
vitreous numbness,'vitreous' <-> 'numb'
vitreous is numbness,'vitreous' <2> 'numb'
vitreous is in numbness,'vitreous' <3> 'numb'
vitreous is a little numbness,'vitreous' <3> 'littl' <-> 'numb'
pounding vitreous,'pound' <-> 'vitreous'
pounding in my vitreous,'pound' <3> 'vitreous'
pounding in vitreous,'pound' <2> 'vitreous'
vitreous pounding,'vitreous' <-> 'pound'
vitreous is pounding,'vitreous' <2> 'pound'
vitreous is in pounding,'vitreous' <3> 'pound'
vitreous is a little pounding,'vitreous' <3> 'littl' <-> 'pound'
laceration vitreous,'lacer' <-> 'vitreous'
laceration in my vitreous,'lacer' <3> 'vitreous'
laceration in vitreous,'lacer' <2> 'vitreous'
vitreous laceration,'vitreous' <-> 'lacer'
vitreous is laceration,'vitreous' <2> 'lacer'
vitreous is in laceration,'vitreous' <3> 'lacer'
vitreous is a little laceration,'vitreous' <3> 'littl' <-> 'lacer'
obstruction vitreous,'obstruct' <-> 'vitreous'
obstruction in my vitreous,'obstruct' <3> 'vitreous'
obstruction in vitreous,'obstruct' <2> 'vitreous'
vitreous obstruction,'vitreous' <-> 'obstruct'
vitreous is obstruction,'vitreous' <2> 'obstruct'
vitreous is in obstruction,'vitreous' <3> 'obstruct'
vitreous is a little obstruction,'vitreous' <3> 'littl' <-> 'obstruct'
swollen vitreous,'swollen' <-> 'vitreous'
swollen in my vitreous,'swollen' <3> 'vitreous'
swollen in vitreous,'swollen' <2> 'vitreous'
vitreous swollen,'vitreous' <-> 'swollen'
vitreous is swollen,'vitreous' <2> 'swollen'
vitreous is in swollen,'vitreous' <3> 'swollen'
vitreous is a little swollen,'vitreous' <3> 'littl' <-> 'swollen'
swelling vitreous,'swell' <-> 'vitreous'
swelling in my vitreous,'swell' <3> 'vitreous'
swelling in vitreous,'swell' <2> 'vitreous'
vitreous swelling,'vitreous' <-> 'swell'
vitreous is swelling,'vitreous' <2> 'swell'
vitreous is in swelling,'vitreous' <3> 'swell'
vitreous is a little swelling,'vitreous' <3> 'littl' <-> 'swell'
scratchy vitreous,'scratchi' <-> 'vitreous'
scratchy in my vitreous,'scratchi' <3> 'vitreous'
scratchy in vitreous,'scratchi' <2> 'vitreous'
vitreous scratchy,'vitreous' <-> 'scratchi'
vitreous is scratchy,'vitreous' <2> 'scratchi'
vitreous is in scratchy,'vitreous' <3> 'scratchi'
vitreous is a little scratchy,'vitreous' <3> 'littl' <-> 'scratchi'
erythema vitreous,'erythema' <-> 'vitreous'
erythema in my vitreous,'erythema' <3> 'vitreous'
erythema in vitreous,'erythema' <2> 'vitreous'
vitreous erythema,'vitreous' <-> 'erythema'
vitreous is erythema,'vitreous' <2> 'erythema'
vitreous is in erythema,'vitreous' <3> 'erythema'
vitreous is a little erythema,'vitreous' <3> 'littl' <-> 'erythema'
spasm vitreous,'spasm' <-> 'vitreous'
spasm in my vitreous,'spasm' <3> 'vitreous'
spasm in vitreous,'spasm' <2> 'vitreous'
vitreous spasm,'vitreous' <-> 'spasm'
vitreous is spasm,'vitreous' <2> 'spasm'
vitreous is in spasm,'vitreous' <3> 'spasm'
vitreous is a little spasm,'vitreous' <3> 'littl' <-> 'spasm'
prickling vitreous,'prickl' <-> 'vitreous'
prickling in my vitreous,'prickl' <3> 'vitreous'
prickling in vitreous,'prickl' <2> 'vitreous'
vitreous prickling,'vitreous' <-> 'prickl'
vitreous is prickling,'vitreous' <2> 'prickl'
vitreous is in prickling,'vitreous' <3> 'prickl'
vitreous is a little prickling,'vitreous' <3> 'littl' <-> 'prickl'
luxation vitreous,'luxat' <-> 'vitreous'
luxation in my vitreous,'luxat' <3> 'vitreous'
luxation in vitreous,'luxat' <2> 'vitreous'
vitreous luxation,'vitreous' <-> 'luxat'
vitreous is luxation,'vitreous' <2> 'luxat'
vitreous is in luxation,'vitreous' <3> 'luxat'
vitreous is a little luxation,'vitreous' <3> 'littl' <-> 'luxat'
soreness vitreous,'sore' <-> 'vitreous'
soreness in my vitreous,'sore' <3> 'vitreous'
soreness in vitreous,'sore' <2> 'vitreous'
vitreous soreness,'vitreous' <-> 'sore'
vitreous is soreness,'vitreous' <2> 'sore'
vitreous is in soreness,'vitreous' <3> 'sore'
vitreous is a little soreness,'vitreous' <3> 'littl' <-> 'sore'
nodule vitreous,'nodul' <-> 'vitreous'
nodule in my vitreous,'nodul' <3> 'vitreous'
nodule in vitreous,'nodul' <2> 'vitreous'
vitreous nodule,'vitreous' <-> 'nodul'
vitreous is nodule,'vitreous' <2> 'nodul'
vitreous is in nodule,'vitreous' <3> 'nodul'
vitreous is a little nodule,'vitreous' <3> 'littl' <-> 'nodul'
throbbing vitreous,'throb' <-> 'vitreous'
throbbing in my vitreous,'throb' <3> 'vitreous'
throbbing in vitreous,'throb' <2> 'vitreous'
vitreous throbbing,'vitreous' <-> 'throb'
vitreous is throbbing,'vitreous' <2> 'throb'
vitreous is in throbbing,'vitreous' <3> 'throb'
vitreous is a little throbbing,'vitreous' <3> 'littl' <-> 'throb'
contusion vitreous,'contus' <-> 'vitreous'
contusion in my vitreous,'contus' <3> 'vitreous'
contusion in vitreous,'contus' <2> 'vitreous'
vitreous contusion,'vitreous' <-> 'contus'
vitreous is contusion,'vitreous' <2> 'contus'
vitreous is in contusion,'vitreous' <3> 'contus'
vitreous is a little contusion,'vitreous' <3> 'littl' <-> 'contus'
pallor vitreous,'pallor' <-> 'vitreous'
pallor in my vitreous,'pallor' <3> 'vitreous'
pallor in vitreous,'pallor' <2> 'vitreous'
vitreous pallor,'vitreous' <-> 'pallor'
vitreous is pallor,'vitreous' <2> 'pallor'
vitreous is in pallor,'vitreous' <3> 'pallor'
vitreous is a little pallor,'vitreous' <3> 'littl' <-> 'pallor'
itchy vitreous,'itchi' <-> 'vitreous'
itchy in my vitreous,'itchi' <3> 'vitreous'
itchy in vitreous,'itchi' <2> 'vitreous'
vitreous itchy,'vitreous' <-> 'itchi'
vitreous is itchy,'vitreous' <2> 'itchi'
vitreous is in itchy,'vitreous' <3> 'itchi'
vitreous is a little itchy,'vitreous' <3> 'littl' <-> 'itchi'
leak vitreous,'leak' <-> 'vitreous'
leak in my vitreous,'leak' <3> 'vitreous'
leak in vitreous,'leak' <2> 'vitreous'
vitreous leak,'vitreous' <-> 'leak'
vitreous is leak,'vitreous' <2> 'leak'
vitreous is in leak,'vitreous' <3> 'leak'
vitreous is a little leak,'vitreous' <3> 'littl' <-> 'leak'
abrasion vitreous,'abras' <-> 'vitreous'
abrasion in my vitreous,'abras' <3> 'vitreous'
abrasion in vitreous,'abras' <2> 'vitreous'
vitreous abrasion,'vitreous' <-> 'abras'
vitreous is abrasion,'vitreous' <2> 'abras'
